Date,Time,Station_No,TSP,PM2.5,O3,CO,NO2,SO2,Temperature,Humidity
02-09-2021,04:00,4,45.70333333,19.81333333,73.90695,859.882,74.87223333,151.5233333,28.55666667,75.67
02-09-2021,05:00,4,50.6245614,22.62280702,69.22157895,813.2578947,70.12926316,140.1929825,28.87192982,74.82105263
02-09-2021,06:00,4,44.55333333,20.04,73.15446667,957.865,64.05073333,133.1833333,29.58,72.76333333
02-09-2021,07:00,4,56.71666667,24.98166667,79.5015,932.653,60.44356667,130.1266667,30.87166667,69.645
02-09-2021,08:00,4,50.18333333,22.78,79.07618333,926.732,40.58846667,127.5066667,32.66,64.76333333
02-09-2021,09:00,4,29.84333333,13.99333333,62.09623333,997.211,29.70423333,145.8466667,33.76833333,60.48833333
02-09-2021,10:00,4,26.27758621,12.43275862,49.21037931,854.9555172,15.51027586,148.6172414,34.59827586,58.06034483
02-09-2021,11:00,4,27.49833333,12.745,75.9681,868.286,38.3928,130.5633333,33.78666667,61.475
02-09-2021,12:00,4,26.555,12.87,83.55836667,703.453,46.35993333,125.76,34.0,60.515
02-09-2021,13:00,4,34.85666667,16.455,88.46586667,744.9,41.8745,133.62,34.69166667,60.42166667
02-09-2021,14:00,4,25.115,12.16333333,71.02788333,809.076,28.0418,132.7466667,34.83166667,57.97666667
02-09-2021,15:00,4,31.84333333,14.67666667,85.1942,795.706,51.4727,143.2266667,33.28833333,62.15166667
02-09-2021,16:00,4,29.48813559,13.37457627,87.20377966,799.0922034,61.14905085,145.2101695,32.86949153,65.66101695
02-09-2021,17:00,4,28.34,12.84666667,88.20413333,709.374,63.047,133.62,32.845,66.74833333
02-09-2021,18:00,4,22.53166667,10.67833333,77.08046667,1120.979,54.4839,156.7633333,32.46166667,66.59
02-09-2021,19:00,4,20.36833333,10.06166667,70.99516667,659.141,47.45776667,113.5333333,31.45333333,66.29166667
02-09-2021,20:00,4,16.61,8.676666667,69.16303333,993.964,48.71243333,114.8433333,30.935,66.46166667
02-09-2021,21:00,4,14.15333333,7.801666667,69.98095,699.824,51.97456667,106.9833333,30.67166667,66.34833333
02-09-2021,22:00,4,14.335,7.86,66.38211667,672.511,53.04103333,109.1666667,30.53666667,67.27833333
02-09-2021,23:00,4,15.21166667,7.94,66.80743333,605.661,55.45626667,109.6033333,30.46333333,67.545
03-09-2021,00:00,4,18.61333333,8.976666667,69.71921667,627.817,59.40846667,114.8433333,30.33,69.24166667
03-09-2021,01:00,4,15.49666667,8.091666667,65.07345,595.729,54.45253333,106.11,30.32666667,68.35333333
03-09-2021,02:00,4,15.83833333,8.233333333,69.55563333,587.707,56.86776667,104.8,30.445,69.09833333
03-09-2021,03:00,4,17.49,8.618333333,73.51435,600.886,57.52646667,103.0533333,30.47833333,69.71
03-09-2021,04:00,4,21.51551724,9.85,69.95725862,609.5534483,57.66058621,107.0586207,31.35172414,67.14655172
03-09-2021,05:00,4,21.55166667,9.631666667,66.57841667,668.691,56.9305,113.5333333,31.435,66.15833333
03-09-2021,06:00,4,17.92,8.453333333,63.7975,700.779,49.90436667,119.6466667,31.97666667,63.99166667
03-09-2021,07:00,4,21.05166667,9.851666667,61.6382,948.506,49.15156667,132.31,32.675,62.73833333
03-09-2021,08:00,4,24.79661017,11.15254237,55.89559322,2785.362712,39.33061017,128.3355932,34.35762712,58.55254237
03-09-2021,09:00,4,19.61896552,9.487931034,42.27218966,1034.956552,22.584,131.0,35.48275862,55.05172414
03-09-2021,10:00,4,16.94666667,8.62,39.97976667,700.015,18.09856667,134.4933333,35.98833333,53.41166667
03-09-2021,11:00,4,18.98166667,9.436666667,36.02105,653.984,11.1979,138.4233333,37.13166667,50.12666667
03-09-2021,12:00,4,16.92833333,8.916666667,28.6598,600.695,6.430166667,153.7066667,37.99,47.16833333
03-09-2021,13:00,4,17.08333333,8.706666667,31.14626667,690.274,4.7991,168.99,38.64833333,45.225
03-09-2021,14:00,4,24.115,11.84333333,58.39925,571.281,17.5967,153.27,37.78666667,47.28833333
03-09-2021,15:00,4,24.22333333,11.94833333,66.25125,866.185,31.3353,155.89,37.515,47.72
03-09-2021,16:00,4,32.38833333,15.16166667,79.73051667,990.526,47.83416667,157.6366667,36.66333333,50.68666667
03-09-2021,17:00,4,40.095,17.32333333,83.6238,1250.095,54.04476667,164.1866667,34.56166667,56.505
03-09-2021,18:00,4,31.23,14.645,106.1983,629.918,79.7027,130.5633333,32.15333333,64.84666667
03-09-2021,19:00,4,31.56833333,14.73666667,96.44873333,776.988,76.34646667,133.1833333,32.03166667,66.2
03-09-2021,20:00,4,28.14833333,13.30833333,88.17141667,1550.92,70.88866667,188.64,31.825,67.45
03-09-2021,21:00,4,27.52833333,12.875,85.42321667,622.087,69.50853333,117.4633333,31.53666667,69.15666667
03-09-2021,22:00,4,21.33666667,10.3,80.38485,561.54,63.54886667,105.2366667,31.23666667,69.24333333
03-09-2021,23:00,4,30.37166667,14.005,85.32506667,588.853,76.5974,105.6733333,31.04666667,70.79666667
04-09-2021,00:00,4,29.13333333,13.55833333,78.74901667,563.45,68.91256667,104.8,30.82,70.51166667
04-09-2021,01:00,4,29.755,13.86833333,77.37491667,554.855,68.19113333,102.18,30.68,71.07333333
04-09-2021,02:00,4,31.09,14.405,74.10325,660.478,67.03056667,105.6733333,30.70666667,71.51166667
04-09-2021,03:00,4,25.40833333,12.02,70.20996667,603.56,65.71316667,102.18,30.59,70.715
04-09-2021,04:00,4,29.835,13.79166667,72.69643333,599.549,69.32033333,104.8,30.70666667,71.02166667
04-09-2021,05:00,4,33.19833333,15.21666667,70.83158333,649.591,69.8222,115.28,30.90833333,70.67333333
04-09-2021,06:00,4,34.27166667,15.75833333,70.2754,719.497,67.43833333,123.5766667,31.27,69.79666667
04-09-2021,07:00,4,33.615,15.48166667,63.76478333,726.946,59.4712,129.2533333,31.90166667,67.03666667
04-09-2021,08:00,4,32.61525424,15.17966102,61.25225424,786.6610169,45.32749153,129.2237288,32.87966102,62.66949153
04-09-2021,09:00,4,34.72,16.07833333,66.67656667,1312.934,28.6064,134.0566667,34.405,57.77
04-09-2021,10:00,4,48.94666667,22.48333333,60.03508333,684.544,19.25913333,122.2666667,35.72,54.50833333
04-09-2021,11:00,4,36.01166667,16.66166667,56.59983333,617.885,15.55786667,121.3933333,36.055,52.525
04-09-2021,12:00,4,21.405,10.28666667,52.8047,599.358,20.3256,132.31,36.315,51.10833333
04-09-2021,13:00,4,27.81666667,13.18833333,82.31513333,642.906,40.6512,131.0,34.795,58.15666667
04-09-2021,14:00,4,22.13666667,10.30833333,96.71046667,662.77,65.4936,123.5766667,32.975,63.54166667
04-09-2021,15:00,4,20.78833333,10.03166667,84.8016,678.623,58.8125,128.8166667,33.03833333,62.24833333
04-09-2021,16:00,4,24.27,11.305,96.02341667,1396.019,72.86476667,164.6233333,32.43333333,66.855
04-09-2021,17:00,4,23.92333333,11.18833333,79.6978,967.415,63.10973333,136.24,32.30166667,65.77
04-09-2021,18:00,4,22.13333333,10.51333333,67.49448333,831.041,56.24043333,135.3666667,32.41166667,64.87166667
04-09-2021,19:00,4,28.33166667,13.10833333,64.94258333,820.154,55.20533333,138.86,32.55833333,64.58666667
04-09-2021,20:00,4,28.93666667,13.26333333,60.2641,632.21,42.84686667,115.28,32.46333333,62.31666667
04-09-2021,21:00,4,27.52166667,12.59166667,65.59691667,578.73,46.2972,104.8,32.09,62.77166667
04-09-2021,22:00,4,26.65833333,12.21,66.9383,517.228,48.24193333,105.2366667,31.75833333,63.28166667
04-09-2021,23:00,4,23.2,10.605,69.26118333,549.507,53.79383333,104.3633333,31.62333333,63.985
05-09-2021,00:00,4,23.17166667,10.65666667,71.32233333,533.081,57.9656,103.0533333,31.20333333,66.615
05-09-2021,01:00,4,28.93833333,13.25666667,73.71065,561.922,62.23146667,104.8,31.02166667,67.57666667
05-09-2021,02:00,4,52.13,23.76166667,68.63956667,610.818,62.13736667,118.7733333,31.015,66.83666667
05-09-2021,03:00,4,30.605,13.98333333,66.12038333,551.417,57.8715,107.8566667,30.905,66.96833333
05-09-2021,04:00,4,27.98,12.64333333,68.705,572.427,58.9066,109.1666667,30.845,68.12833333
